Gender|TelephoneNumber|Company|Surname|GivenName|EmailAddress
female|508-668-3187|Terra|Flanagan|Shirley|ShirleyMFlanagan@fleckens.hu
male|617-652-7979|Music Boutique|Jacobs|Eric|EricTJacobs@gustr.com
female|978-907-8359|Woolf Brothers|Hyer|Ramona|RamonaRHyer@gustr.com
female|617-600-4798|Monk Home Funding Services|Taylor|Patricia|PatriciaETaylor@rhyta.com
male|415-561-5235|Afforda|Devers|Leo|LeoEDevers@fleckens.hu
male|772-985-5347|The Pink Pig Tavern|Hickey|Juan|JuanTHickey@cuvox.de
male|520-843-2268|Quest Technology Service|Rich|Phillip|PhillipARich@jourrapide.com
male|309-598-9649|Mission Realty|Mason|William|WilliamTMason@cuvox.de
female|937-473-1009|Dick Fischers|Skidmore|Mary|MaryRSkidmore@einrot.com
male|847-580-7014|Leath Furniture|Imel|George|GeorgeMImel@fleckens.hu
female|216-292-7619|Vitamax Health Food Center|Lopez|Edith|EdithMLopez@teleworm.us
male|757-544-8823|Liberty Wealth Planner|Jennings|Joe|JoeGJennings@dayrep.com
male|617-786-5955|Borders Books|Schumaker|Ray|RayRSchumaker@dayrep.com
male|918-437-5439|Greyvoid|Riddle|James|JamesJRiddle@jourrapide.com
male|330-825-6892|Rose Records|Thompson|Martin|MartinAThompson@einrot.com
female|563-586-7685|Block Distributors|Dolan|Maria|MariaRDolan@einrot.com
female|802-484-5488|J. B. Van Sciver|Taylor|Maria|MariaJTaylor@jourrapide.com
female|623-386-8341|Sagebrush|Burke|Jessica|JessicaCBurke@fleckens.hu
female|704-471-8930|Realty Solution|Wiggins|Sonia|SoniaJWiggins@gustr.com
female|217-569-0143|Keeney's|Bryant|Deloris|DelorisVBryant@superrito.com
female|432-228-5774|Castro Convertibles|Rogers|Susan|SusanVRogers@gustr.com
male|937-774-4451|P. Samuels Men's Clothiers|Orlandi|Sean|SeanTOrlandi@teleworm.us
male|248-353-9954|McMahan's Furniture|Crow|Jason|JasonMCrow@dayrep.com
male|231-428-0418|Golden Joy|Millikan|Lawrence|LawrenceJMillikan@jourrapide.com
female|817-872-8283|BASCO|Kahn|Nancy|NancyDKahn@rhyta.com
female|312-696-5661|Giant Open Air|Hill|Billie|BillieJHill@teleworm.us
male|414-454-9723|The Jolly Farmer|Stratton|Will|WillMStratton@dayrep.com
female|803-510-9811|Target Source|Spencer|Juanita|JuanitaJSpencer@cuvox.de
female|315-386-6878|Rivera Property Maintenance|Brown|Patricia|PatriciaCBrown@superrito.com
female|828-832-9317|Chargepal|Bryan|Bessie|BessieNBryan@dayrep.com
male|865-755-7017|Golden's Distributors|Moore|William|WilliamBMoore@superrito.com
female|859-280-5861|Kinney Shoes|Thompson|Irma|IrmaOThompson@armyspy.com
male|530-246-2488|Atlas Realty|Stephen|Everett|EverettEStephen@fleckens.hu
male|703-235-5991|Omni Tech|Yancey|Billy|BillyDYancey@gustr.com
male|972-224-3108|Two Pesos|Keller|James|JamesVKeller@superrito.com
male|320-683-3768|Adaptaz|Danner|Raymond|RaymondADanner@superrito.com
male|402-562-9781|Nan Duskin|Bean|Henry|HenryLBean@cuvox.de
female|608-564-1877|Matrix Architectural Service |Alberto|Joy|JoyJAlberto@armyspy.com
male|262-214-3637|Susie's Casuals|Darnell|Harold|HaroldTDarnell@armyspy.com
male|860-988-2084|Blockbuster Music|Corpuz|Chuck|ChuckSCorpuz@armyspy.com
male|480-325-9549|Old America Stores|Fouche|James|JamesMFouche@armyspy.com
female|205-884-7500|Prahject Planner|Sauve|Jessica|JessicaMSauve@jourrapide.com
male|860-975-9697|Great American Music|Nadler|Charles|CharlesGNadler@cuvox.de
female|408-362-2684|Adaptaz|Thompson|Tracy|TracyCThompson@armyspy.com
male|940-328-7304|Friendly Advice|McKim|Thomas|ThomasDMcKim@gustr.com
male|617-519-1212|Integra Wealth Planners|Crowley|Nicholas|NicholasECrowley@dayrep.com
female|956-424-7094|Olympic Sports|Christie|Mercedes|MercedesEChristie@einrot.com
male|817-612-5999|Gene Walter's Marketplace|Edwards|Bradley|BradleyJEdwards@dayrep.com
female|857-636-2030|Sportswest|McLaughlin|Josie|JosieSMcLaughlin@gustr.com
male|804-443-4619|Omni Architectural Designs|Smith|Chris|ChrisGSmith@armyspy.com
female|256-445-5150|Modern Architecture Design|Richardson|Cynthia|CynthiaTRichardson@einrot.com
male|979-228-1006|Multicerv|Robinson|Lawrence|LawrenceNRobinson@jourrapide.com
male|954-332-7213|Home Quarters Warehouse|Hilton|Tommy|TommyJHilton@cuvox.de
male|513-205-9963|Record & Tape Outlet|Snyder|Steven|StevenASnyder@dayrep.com
female|906-654-0614|Janeville|Roper|Irene|IreneCRoper@fleckens.hu
male|712-527-7469|Life Map Planners|Theriot|Fernando|FernandoDTheriot@rhyta.com
female|251-225-5850|Littler's|Geist|Eloisa|EloisaAGeist@armyspy.com
male|281-204-8051|National Hardgoods Distributors|Hunter|Jose|JoseCHunter@fleckens.hu
female|440-277-5334|Buckeye Furniture|Folsom|Elizabeth|ElizabethSFolsom@teleworm.us
female|515-395-9105|White Hen Pantry|Colburn|Amy|AmyBColburn@rhyta.com
female|309-360-8922|Karl's Shoes|Wimbley|Theresa|TheresaRWimbley@armyspy.com
female|662-828-8327|Afforda Merchant Services|Jones|Alice|AliceJJones@rhyta.com
male|314-495-1399|Nutri G|Christian|Brad|BradSChristian@rhyta.com
female|901-578-3904|Mighty Casey's|Sharma|Michelle|MichelleGSharma@rhyta.com
male|318-302-0232|Gene Walter's Marketplace|Brown|Daniel|DanielMBrown@rhyta.com
male|856-697-6731|McDade's|Chandler|Richard|RichardPChandler@superrito.com
male|650-568-0631|The High Heelers|Hernandez|Elton|EltonAHernandez@einrot.com
male|414-362-6262|Magik Gray|Franklin|Jan|JanMFranklin@fleckens.hu
female|317-263-7107|Reliable Garden Management|Lopez|Barbara|BarbaraDLopez@jourrapide.com
female|413-778-0260|KG Menswear|Wilson|Mary|MaryMWilson@armyspy.com
male|781-417-1020|Highland Appliance|Salgado|Robert|RobertMSalgado@armyspy.com
male|910-764-8409|One-Up Realtors|Venable|Kenneth|KennethSVenable@rhyta.com
female|217-781-8577|Alladin's Lamp|Gates|Judith|JudithDGates@rhyta.com
female|973-297-6379|Liberal|Mack|Emma|EmmaIMack@cuvox.de
female|318-680-3727|Klopfenstein's|Ashmore|Glenda|GlendaGAshmore@rhyta.com
male|408-360-8322|Harold Powell|Lewis|Daniel|DanielALewis@rhyta.com
male|714-384-0662|Solution Bridge|Helwig|James|JamesNHelwig@superrito.com
female|325-690-9821|Solution Answers|Swanson|Stephanie|StephanieRSwanson@dayrep.com
female|508-576-4736|A+ Electronics|Wells|Siobhan|SiobhanJWells@jourrapide.com
female|918-829-0318|Olympic Sports|Jesse|Alexandria|AlexandriaHJesse@dayrep.com
female|606-479-6943|Best Biz Survis|Russell|Joan|JoanJRussell@einrot.com
male|405-961-9735|Skaggs-Alpha Beta|Gonzalez|Russell|RussellCGonzalez@gustr.com
male|954-297-2066|Children's Palace|Smith|Matthew|MatthewESmith@rhyta.com
male|650-515-7952|Schucks Auto Supply|Lindsay|Michael|MichaelVLindsay@einrot.com
female|662-624-7282|Hughes Markets|Whitt|Elizabeth|ElizabethWWhitt@fleckens.hu
male|815-366-7216|Crafts Canada|Hughes|Bruce|BruceLHughes@jourrapide.com
female|516-381-8548|Megatronic|Smith|Emily|EmilyESmith@armyspy.com
female|717-713-3924|The Wiz|Holder|Anne|AnneJHolder@gustr.com
male|518-942-8010|Full Color|Segarra|Timothy|TimothyTSegarra@gustr.com
male|360-362-5667|Casa Bonita|Miles|Jacob|JacobRMiles@jourrapide.com
male|774-627-1336|Value Giant|Stringer|Esteban|EstebanGStringer@gustr.com
male|303-388-9067|Steak and Ale|Taylor|Lloyd|LloydNTaylor@einrot.com
female|401-257-0359|Gamma Realty|Key|Virginia|VirginiaLKey@teleworm.us
female|954-351-7054|The Wiz|Stephens|Heidi|HeidiVStephens@armyspy.com
female|323-850-9033|Sistemos|Greene|Gale|GaleBGreene@jourrapide.com
male|828-219-9293|Parade of Shoes|Scott|James|JamesGScott@dayrep.com
female|315-267-8272|Garden Master|Brock|Colleen|ColleenTBrock@jourrapide.com
female|585-381-6517|Sofa Express|Minaya|Antonia|AntoniaDMinaya@einrot.com
male|610-565-7598|Erol's|Keo|Richard|RichardEKeo@superrito.com
female|336-587-6895|Eagle Food Centers|Hall|Charlene|CharleneAHall@armyspy.com
male|530-249-7553|Wickes Furniture|Woodall|Caleb|CalebRWoodall@rhyta.com
male|510-920-2547|Mission Realty|Bowen|Edward|EdwardCBowen@armyspy.com
male|214-814-2919|Tee Town|Byrd|Frederick|FrederickAByrd@jourrapide.com
male|323-459-2287|China Coast|Thompson|Edward|EdwardSThompson@jourrapide.com
male|443-551-4202|Jacob Reed and Sons|Daniels|Duncan|DuncanDDaniels@teleworm.us
female|507-464-8135|Grass Roots Yard Services|Bailey|Myrtle|MyrtleRBailey@jourrapide.com
male|972-709-1673|Envirotecture Design Service|Jones|Andrew|AndrewTJones@teleworm.us
male|715-657-9452|Fit Tonic|McSwain|Felix|FelixSMcSwain@armyspy.com
female|518-262-2414|Kelly and Cohen|Kimbrough|Maryrose|MaryroseRKimbrough@teleworm.us
female|256-494-1780|Eli Moore Inc|Snider|Willie|WillieDSnider@cuvox.de
female|239-223-7326|Forum Cafeterias|Moore|Lottie|LottieJMoore@einrot.com
female|202-640-3235|Yardbirds Home Center|Landreth|Aleisha|AleishaBLandreth@armyspy.com
female|504-828-5584|Naturohair|Rodriquez|Molly|MollyMRodriquez@gustr.com
male|703-344-9449|Star Assistance|Nguyen|Keith|KeithMNguyen@jourrapide.com
female|740-364-0244|Cal Stereo|Marra|Mary|MaryBMarra@cuvox.de
female|503-492-2797|Edwards|Hankerson|Mary|MaryAHankerson@fleckens.hu
female|858-279-7476|Tradewell|Smith|Tommy|TommyRSmith@cuvox.de
female|603-989-2571|Kinney Shoes|Pardue|Rene|ReneCPardue@fleckens.hu
male|704-654-7369|Cavages|Girouard|Gary|GaryNGirouard@gustr.com
female|304-310-7075|Your Choices|Rone|Deb|DebWRone@dayrep.com
male|323-678-3531|Total Yard Maintenance|Williams|Timothy|TimothyAWilliams@dayrep.com
male|636-789-6094|Millenia Life|Mercer|Matthew|MatthewPMercer@einrot.com
male|586-751-9333|Tradewell|Hoke|Bruce|BruceTHoke@fleckens.hu
female|541-489-2987|Hugh M. Woods|Kaczor|Angela|AngelaMKaczor@superrito.com
male|307-262-0719|Eagle Food Centers|Frost|David|DavidGFrost@armyspy.com
female|334-382-3169|Burger Chef|Rivera|Tami|TamiRRivera@fleckens.hu
female|716-676-1853|Morville|Byars|Elizabeth|ElizabethWByars@superrito.com
male|228-348-4494|Peaches|Gamble|Gerald|GeraldCGamble@rhyta.com
male|520-980-2411|Liberty Wealth Planner|Halverson|Mark|MarkJHalverson@superrito.com
female|775-343-7965|Cuppy's Coffee|Beauford|Charlotte|CharlotteJBeauford@superrito.com
female|203-753-3144|Terra|Clark|Rachel|RachelRClark@einrot.com
female|256-524-6217|First Rate Choice|Hargrove|Emily|EmilyGHargrove@armyspy.com
female|940-997-6440|Liberal|Fisher|Ana|AnaJFisher@fleckens.hu
male|336-522-3616|Dreamscape Garden Care|Massey|David|DavidRMassey@superrito.com
female|716-952-4644|Maxaprofit|Morse|Kimberly|KimberlyTMorse@gustr.com
female|505-394-7504|De Pinna|Wilson|Sherry|SherryJWilson@einrot.com
male|631-536-9394|Belle Lady|Woolsey|Brett|BrettLWoolsey@gustr.com
male|954-569-3419|Red Baron Electronics|Miler|Phillip|PhillipHMiler@cuvox.de
male|323-508-2474|Paul's Record Hut|Laufer|Roderick|RoderickDLaufer@superrito.com
male|620-412-1055|Oshman's|Burruss|Louis|LouisVBurruss@gustr.com
female|203-687-0537|Nelson Brothers|Sutton|Esther|EstherMSutton@superrito.com
male|201-628-6132|Argus Tapes & Records|Collins|Jaime|JaimeBCollins@superrito.com
male|252-327-7749|A.J. August Fashion Wear|Grier|Rick|RickJGrier@fleckens.hu
male|724-863-0624|Ardan's|Denham|Derek|DerekMDenham@teleworm.us
male|717-635-2368|Gino's Hamburgers|Norden|Douglas|DouglasANorden@gustr.com
female|815-336-4166|Rickel|East|Julie|JulieKEast@jourrapide.com
male|781-638-0371|Second Time Around|Brooks|John|JohnABrooks@rhyta.com
male|336-940-2409|Bombay Company|Davis|Junior|JuniorSDavis@fleckens.hu
female|915-309-1241|Avant Garde Interior Designs|Miles|Patricia|PatriciaEMiles@rhyta.com
male|712-682-1685|Lindsley's Lumber|Denton|Robert|RobertBDenton@jourrapide.com
female|360-696-6219|Destiny Planners|Gonzalez|Jewel|JewelWGonzalez@einrot.com
female|443-417-4891|Cloth World|Snow|Kathryn|KathrynWSnow@cuvox.de
male|207-222-0782|Casual Corner|Walker|Rocco|RoccoJWalker@armyspy.com
female|318-635-5825|Beasts of Beauty|Burgess|Maude|MaudeMBurgess@jourrapide.com
male|231-306-6418|Star Interior Design|Janousek|John|JohnLJanousek@jourrapide.com
female|409-455-7482|Rickel|Hernandez|Ann|AnnRHernandez@superrito.com
male|541-572-0918|Wheels Discount Auto|Reid|Michael|MichaelHReid@dayrep.com
female|203-508-5999|Record & Tape Outlet|Ross|Angel|AngelJRoss@teleworm.us
male|845-818-8514|Cherry & Webb|Johnston|Mark|MarkMJohnston@rhyta.com
female|231-644-7701|Roadhouse Grill|Hobbs|Chanda|ChandaPHobbs@dayrep.com
male|952-886-9303|Omni Tech Solutions|Lamb|Ronald|RonaldJLamb@armyspy.com
male|508-625-5088|Purity|Shores|Ronnie|RonniePShores@fleckens.hu
male|817-877-2213|Lafayette Radio|Roberts|Frank|FrankERoberts@cuvox.de
male|678-427-8037|Bay Furniture|Richter|Calvin|CalvinLRichter@gustr.com
female|719-587-7158|Gallenkamp|Farrell|Lucille|LucilleJFarrell@cuvox.de
male|305-264-3722|The Sample|Napier|Tyrone|TyroneRNapier@superrito.com
male|617-476-7245|Vari-Tec|Kramer|Jose|JoseSKramer@gustr.com
male|217-264-3084|Four Leaf Clover|Smith|Roy|RoyJSmith@superrito.com
female|323-927-5183|Just For Feet|Pieper|Edna|EdnaSPieper@teleworm.us
male|228-261-1548|Success Is Yours|Hill|Jackie|JackiePHill@armyspy.com
female|707-754-6149|Nutri G|Harper|Jennifer|JenniferJHarper@cuvox.de
male|670-878-1228|Integra Wealth|Graham|Pablo|PabloLGraham@gustr.com
male|919-212-0540|Netaid|Brandon|Roy|RoyDBrandon@armyspy.com
